category,product,quantity,price
Drip,Adjustable Nozzle,15,3750
Drip,Poly Pipe (50m),5,12500
Drip,Fertilizer Injector,2,9800
Drip,Backflow Preventer,8,6400
Tool,Angle Grinder,3,13500
Tool,Circular Saw,4,22000
Tool,Safety Gloves,50,2500
Tool,Level Meter,12,3600
Electronics,Tablet,6,108000
Electronics,Smart Thermostat,4,32000
Electronics,Security Camera,10,45000
Electronics,Router,7,21000
Pumping,Centrifugal Pump,3,45000
Pumping,Foot Valve,25,7500
Pumping,Strainer Basket,30,9000
Pumping,Pressure Switch,18,12600
Drip,Micro Sprinkler,40,16000
Tool,Bench Vise,9,8100
Electronics,External HDD,15,52500
Pumping,Impeller Kit,6,13800
